B,T,rho,p_pos,s,cvar_floor,cvar_sameinfo,cvar_online,prize_total_pct,prize_cvar_pct,prize_total_abs
4,12,0.75,0.25,0.5,2.55403908906644,2.55403908906644,2.5781821464750254,0.9364372273539572,0.9364372273539572,0.024143057408585467
4,12,1.0,0.333333,0.6667,4.9582770135607666,4.9582770135607666,5.3113653396914575,6.647788347227537,6.647788347227537,0.35308832613069097
4,12,1.25,0.416667,0.8333,7.476658737407393,7.476658737407392,8.55013453355972,12.555074916527678,12.5550749165277,1.0734757961523274
4,12,1.5,0.5,1.0,10.007678519714833,9.99954109111757,11.709873777601324,14.536409958085576,14.60590198465916,1.7021952578864905
4,12,1.75,0.583333,1.1667,11.853908578715288,11.854789422728068,13.524450523170067,12.352013426296393,12.345500451804224,1.6705419444547793
4,12,2.0,0.666667,1.3333,14.87696328318098,14.873618786349661,15.935527167215868,6.642791750326711,6.663779426455807,1.0585638840348874
5,12,0.75,0.3125,0.625,4.671171277198681,nan,4.766539742086698,2.000790301735032,nan,0.09536846488801665
5,12,1.0,0.416667,0.8333,8.834523568570317,nan,9.070938580787232,2.60629051901702,nan,0.23641501221691463
5,12,1.25,0.520833,1.0417,11.962208319161846,nan,13.395303519819103,10.698489948636945,nan,1.4330952006572577
5,12,1.5,0.625,1.25,14.879249766151984,nan,15.948726120205148,6.705716469093188,nan,1.0694763540531635
5,12,1.75,0.729167,1.4583,18.380351870413563,nan,19.942450060218736,7.833030470620315,nan,1.5620981898051731
5,12,2.0,0.833333,1.6667,21.318942187616035,nan,22.36836672526086,4.691556386455777,nan,1.0494245376448248
