rho_target,rho_real,delta,B,floor,online,info,v1,prize,prize_pct,v1_gap,info_gap,online_fwd_gap,eta,kappa,regime_lift
0.76,0.7143,1.0,7,10.369613036000002,10.375781105000009,10.375781105000009,10.369613036000002,0.0061680690000063265,0.05944679188571144,0.0061680690000063265,0.0,3.552713678800501e-15,16,0.0,0.0
0.76,0.7143,1.46,7,9.799638805190849,9.806038441286688,9.806210834166912,9.799638805190849,0.006399636095839156,0.06526219669805247,0.006399636095839156,0.0001723928802235264,0.0,16,0.0,0.00023156709583282975
0.76,0.7143,2.0,7,8.762839714914058,8.775599302914056,8.775599302914056,8.762839714914058,0.01275958799999799,0.14539848003042932,0.01275958799999799,0.0,-1.7763568394002505e-15,14,0.0,0.0065915189999916635
0.76,0.7143,3.0,7,6.998663160000002,6.999228864,6.999228864000003,6.998663160000002,0.0005657039999977798,0.008082376087277774,0.0005657039999977798,2.6645352591003757e-15,-2.6645352591003757e-15,12,0.0,-0.005602365000008547
0.76,0.7143,5.0,7,5.310167595855241,5.310167595855241,5.310167595855241,5.310167595855241,0.0,0.0,0.0,0.0,0.0,8,-0.5,-0.0061680690000063265
0.85,0.8333,1.0,6,10.274619962000006,10.297756235000008,10.297756235000008,10.274619962000006,0.023136273000002205,0.22467295274835358,0.023136273000002205,0.0,3.552713678800501e-15,16,0.0,0.0
0.85,0.8333,1.46,6,9.702100121376633,9.727584392905126,9.727926733977846,9.702100121376633,0.02548427152849264,0.2619794442192633,0.02548427152849264,0.0003423410727201315,0.0,16,0.0,0.002347998528490436
0.85,0.8333,2.0,6,8.662258371802945,8.703129799914056,8.706411744414057,8.662258371802945,0.04087142811111022,0.4696175864401543,0.04087142811111022,0.003281944500001188,-1.7763568394002505e-15,14,0.0,0.017735155111108014
0.85,0.8333,3.0,6,6.920342883000002,6.999228864,6.999228864000003,6.920342883000002,0.07888598099999822,1.127066745963148,0.07888598099999822,2.6645352591003757e-15,-2.6645352591003757e-15,12,0.0,0.05574970799999601
0.85,0.8333,5.0,6,5.307455515744129,5.310167595855241,5.310167595855241,5.307455515744129,0.002712080111111348,0.05107334301893249,0.002712080111111348,0.0,0.0,8,0.0,-0.020424192888890857
0.95,1.0,1.0,5,9.856628138000007,10.058248388000008,10.058248388000008,9.940564388000007,0.20162025000000128,2.0045264565204444,0.11768400000000057,0.0,1.7763568394002505e-15,16,0.25,0.0
0.95,1.0,1.46,5,9.333650305199992,9.477241716100181,9.482844057186893,9.378508935655274,0.14359141090018923,1.5151181662513942,0.09873278044490696,0.005602341086712315,0.0,16,0.25,-0.058028839099812046
0.95,1.0,2.0,5,8.3012143471061,8.451803479914055,8.457161820414058,8.352033854776884,0.15058913280795494,1.78173963895202,0.09976962513717069,0.005358340500002612,0.03551866499999612,14,0.25,-0.05103111719204634
0.95,1.0,3.0,5,6.512775858000001,6.77392032,6.773920320000002,6.617014947000004,0.26114446199999897,3.8551451694666365,0.1569053729999963,1.7763568394002505e-15,-1.7763568394002505e-15,10,0.75,0.05952421199999769
0.95,1.0,5.0,5,5.186990881447833,5.310167595855241,5.310167595855241,5.260403141960864,0.12317671440740785,2.3196389225747094,0.04976445389437689,0.0,0.0,8,0.75,-0.07844353559259343
1.25,1.25,1.0,4,8.734721888000006,9.570506564000006,9.570506564000006,9.229820990000007,0.8357846759999994,8.732919939095492,0.3406855739999983,0.0,-1.7763568394002505e-15,16,1.0,0.0
1.25,1.25,1.46,4,8.21478148633227,8.961500184299371,8.961500184299368,8.753821334704142,0.7467186979671006,8.332518915475317,0.2076788495952293,-3.552713678800501e-15,3.552713678800501e-15,16,1.0,-0.08906597803289884
1.25,1.25,2.0,4,7.070608915866352,7.851922313802945,7.883617746858501,7.686554674605873,0.7813133979365929,9.950600206055492,0.16536763919707198,0.031695433055556776,0.01310067888888522,14,1.0,-0.05447127806340646
1.25,1.25,3.0,4,5.327545233000005,6.224852736,6.224852736000001,5.924141568000003,0.8973075029999951,14.414919373282906,0.30071116799999675,8.881784197001252e-16,-1.7763568394002505e-15,8,1.0,0.06152282699999567
1.25,1.25,5.0,4,4.2008754711712655,5.310167595855241,5.310167595855241,4.837075166294198,1.109292124683975,20.88996448153188,0.47309242956104214,0.0,0.0,8,1.0,0.2735074486839757
1.67,1.6667,1.0,3,7.2260218880000044,8.629256564000006,8.629256564000006,7.709497990000005,1.4032346760000012,16.261362327017725,0.9197585740000003,0.0,-1.7763568394002505e-15,14,1.5,0.0
1.67,1.6667,1.46,3,6.745468038328539,8.089838013891026,8.089838013891022,7.294240746037543,1.3443699755624863,16.618008583782203,0.7955972678534824,-3.552713678800501e-15,5.329070518200751e-15,14,1.5,-0.058864700437514905
1.67,1.6667,2.0,3,5.667471981325885,6.880886888691833,6.894018036586898,6.361135661367376,1.213414907365948,17.634571342250876,0.5197512273244573,0.013131147895064643,-3.552713678800501e-15,14,1.5,-0.18981976863405325
1.67,1.6667,3.0,3,3.8429345130000025,5.244139392,5.244139392,4.615865400000003,1.4012048789999976,26.719443825950794,0.6282739919999969,0.0,0.0,6,1.5,-0.002029797000003608
1.67,1.6667,5.0,3,2.7412508703830385,4.817374954381142,4.817374954381142,3.958987495554439,2.0761240839981037,43.096584834235934,0.8583874588267033,0.0,0.0,6,2.25,0.6728894079981025
