B,T,rho,sigma_M,bound_pct,prize_pct,verdict,bound_holds
3,8,0.5,7.0744,20838.275,0.0,keep,1
3,8,0.75,7.8128,1537.179,0.0,keep,1
3,8,1.0,8.0793,674.755,9.649,watch,1
3,8,1.25,8.7317,467.566,25.377,deploy,1
3,8,1.5,8.8831,320.908,17.795,deploy,1
3,8,1.75,8.5159,226.746,15.066,deploy,1
3,8,2.0,8.2776,188.696,15.045,deploy,1
3,8,2.25,7.5912,158.226,7.396,deploy,1
3,10,0.5,7.1232,112651.061,-0.0,keep,1
3,10,0.75,7.9163,1646.865,0.0,keep,1
3,10,1.0,8.2196,749.474,8.115,watch,1
3,10,1.25,8.6883,489.308,22.55,deploy,1
3,10,1.5,8.9144,355.682,14.834,deploy,1
3,10,1.75,8.8571,250.854,18.367,deploy,1
3,10,2.0,8.4766,201.612,17.11,deploy,1
3,10,2.25,7.8799,169.387,9.869,deploy,1
3,10,2.5,7.4076,142.374,6.096,deploy,1
3,12,0.75,7.9014,1708.831,0.0,keep,1
3,12,1.0,8.306,805.416,7.098,watch,1
3,12,1.25,8.8286,514.821,26.383,deploy,1
3,12,1.5,8.9519,376.245,15.993,deploy,1
3,12,1.75,8.9564,265.104,18.315,deploy,1
3,12,2.0,8.6006,210.951,17.239,deploy,1
3,12,2.25,8.2169,180.664,14.998,deploy,1
3,12,2.5,7.5705,154.201,4.829,deploy,1
3,16,0.75,7.9427,1806.635,0.0,keep,1
3,16,1.0,8.3682,861.487,7.767,watch,1
3,16,1.25,8.9451,545.544,29.452,deploy,1
3,16,1.5,9.1154,409.246,16.59,deploy,1
3,16,1.75,9.0876,283.432,20.317,deploy,1
3,16,2.0,8.7411,222.941,18.363,deploy,1
3,16,2.25,8.4334,191.161,17.546,deploy,1
3,16,2.5,7.8861,165.746,9.671,deploy,1
3,20,0.75,7.9665,1869.789,-0.0,keep,1
3,20,1.0,8.4361,896.045,8.802,watch,1
3,20,1.25,8.9737,562.648,29.674,deploy,1
3,20,1.5,9.2752,432.829,18.842,deploy,1
3,20,1.75,9.2147,297.294,21.77,deploy,1
3,20,2.0,8.8743,231.591,19.268,deploy,1
3,20,2.25,8.4865,195.615,17.555,deploy,1
3,20,2.5,7.9555,169.537,11.972,deploy,1
4,8,0.5,8.2637,2105.039,-0.0,keep,1
4,8,0.75,9.0567,756.382,0.37,keep,1
4,8,1.0,9.4444,398.519,3.035,watch,1
4,8,1.25,9.9014,253.322,9.091,deploy,1
4,8,1.5,10.1722,199.45,13.31,deploy,1
4,8,1.75,9.742,170.987,3.931,deploy,1
4,10,0.5,8.3409,2293.131,0.0,keep,1
4,10,0.75,9.2061,839.424,0.762,keep,1
4,10,1.0,9.6639,437.741,6.181,watch,1
4,10,1.25,10.0808,281.226,8.332,deploy,1
4,10,1.5,10.4397,215.057,15.059,deploy,1
4,10,1.75,10.2122,184.653,10.53,deploy,1
4,10,2.0,9.7293,146.083,7.404,deploy,1
4,10,2.25,8.9232,116.212,4.754,deploy,1
4,12,0.5,8.4001,2436.674,0.0,keep,1
4,12,0.75,9.2983,901.634,0.936,keep,1
4,12,1.0,9.7531,459.069,6.648,watch,1
4,12,1.25,10.4394,305.241,12.555,deploy,1
4,12,1.5,10.5083,224.346,14.536,deploy,1
4,12,1.75,10.432,192.835,12.352,deploy,1
4,12,2.0,9.8688,154.823,6.643,deploy,1
4,12,2.25,9.3363,125.798,8.061,deploy,1
4,12,2.5,8.4202,103.331,4.25,deploy,1
4,16,0.5,8.4636,2634.593,0.0,keep,1
4,16,0.75,9.3833,965.995,0.0,keep,1
4,16,1.0,9.8782,488.481,8.623,watch,1
4,16,1.25,10.4448,323.061,10.86,deploy,1
4,16,1.5,10.6712,238.536,15.241,deploy,1
4,16,1.75,10.6975,203.862,14.9,deploy,1
4,16,2.0,10.2564,170.781,8.323,deploy,1
4,16,2.25,9.717,136.796,9.218,deploy,1
4,16,2.5,8.8837,112.74,6.374,deploy,1
4,20,0.5,8.4986,2765.579,-0.0,keep,1
4,20,0.75,9.4523,1003.98,-0.0,keep,1
4,20,1.0,9.9639,507.936,10.006,watch,1
4,20,1.25,10.5835,339.157,11.247,deploy,1
4,20,1.5,10.8867,250.149,16.774,deploy,1
4,20,1.75,10.7887,209.344,15.519,deploy,1
4,20,2.0,10.4835,181.109,9.594,deploy,1
4,20,2.25,9.8691,142.803,9.008,deploy,1
4,20,2.5,9.1349,118.442,7.613,deploy,1
5,8,0.5,9.2168,1242.822,-0.0,keep,1
5,8,0.75,10.1785,469.51,1.374,keep,1
5,8,1.0,10.4259,253.135,1.542,watch,1
5,8,1.25,10.9524,185.695,8.203,deploy,1
5,10,0.5,9.3719,1385.881,0.0,keep,1
5,10,0.75,10.3306,513.98,1.036,keep,1
5,10,1.0,10.6936,282.086,1.515,watch,1
5,10,1.25,11.2806,202.329,9.641,deploy,1
5,10,1.5,11.6178,172.692,6.978,deploy,1
5,10,1.75,11.3002,136.9,5.354,deploy,1
5,12,0.5,9.4609,1493.21,-0.0,keep,1
5,12,0.75,10.5043,550.939,2.001,keep,1
5,12,1.0,11.0233,303.808,2.606,watch,1
5,12,1.25,11.591,216.325,10.698,deploy,1
5,12,1.5,11.8529,185.797,6.706,deploy,1
5,12,1.75,11.6426,145.953,7.833,deploy,1
5,12,2.0,11.0831,123.87,4.692,deploy,1
5,16,0.5,9.5774,1647.624,0.0,keep,1
5,16,0.75,10.657,598.819,1.183,keep,1
5,16,1.0,11.1224,323.824,2.251,watch,1
5,16,1.25,11.7694,231.219,10.207,deploy,1
5,16,1.5,12.2615,199.168,10.392,deploy,1
5,16,1.75,12.0618,158.31,9.001,deploy,1
5,16,2.0,11.5622,133.342,7.234,deploy,1
5,16,2.25,10.7581,110.034,4.529,deploy,1
5,16,2.5,9.7479,88.196,3.947,deploy,1
5,20,0.5,9.641,1751.572,0.0,keep,1
5,20,0.75,10.726,628.071,0.66,keep,1
5,20,1.0,11.2662,339.386,2.701,watch,1
5,20,1.25,11.9225,241.505,10.61,deploy,1
5,20,1.5,12.2898,203.417,10.859,deploy,1
5,20,1.75,12.3189,166.438,10.073,deploy,1
5,20,2.0,11.8213,139.139,8.729,deploy,1
5,20,2.25,11.1178,117.874,5.226,deploy,1
5,20,2.5,10.0943,93.797,4.796,deploy,1
6,8,0.5,9.9896,834.293,0.0,keep,1
6,8,0.75,11.0732,326.029,0.191,keep,1
6,8,1.0,11.3117,192.88,3.005,watch,1
6,10,0.5,10.2305,932.831,-0.0,keep,1
6,10,0.75,11.3656,361.734,0.332,keep,1
6,10,1.0,11.7202,216.288,1.779,watch,1
6,10,1.25,12.275,167.982,4.8,deploy,1
6,10,1.5,12.641,136.534,5.122,deploy,1
6,12,0.5,10.3789,1006.421,0.0,keep,1
6,12,0.75,11.5161,383.953,0.427,keep,1
6,12,1.0,11.8872,229.956,1.368,watch,1
6,12,1.25,12.5633,180.876,4.341,deploy,1
6,12,1.5,13.0359,145.516,7.772,deploy,1
6,12,1.75,12.7661,125.374,3.25,deploy,1
6,16,0.5,10.5481,1085.906,0.0,keep,1
6,16,0.75,11.7663,413.551,0.771,keep,1
6,16,1.0,12.152,248.436,1.926,watch,1
6,16,1.25,12.9927,194.839,7.04,deploy,1
6,16,1.5,13.4724,157.319,8.752,deploy,1
6,16,1.75,13.2396,135.751,5.34,deploy,1
6,16,2.0,12.7712,112.071,5.254,deploy,1
6,16,2.25,11.669,92.721,2.369,deploy,1
6,20,0.5,10.6478,1130.969,-0.0,keep,1
6,20,0.75,11.9174,432.813,1.08,keep,1
6,20,1.0,12.3986,262.34,2.637,watch,1
6,20,1.25,13.028,199.975,7.018,deploy,1
6,20,1.5,13.6172,163.696,8.641,deploy,1
6,20,1.75,13.6801,142.832,7.889,deploy,1
6,20,2.0,13.0951,118.18,5.788,deploy,1
6,20,2.25,12.0217,97.494,3.437,deploy,1
6,20,2.5,10.9656,79.032,3.356,deploy,1
