lf,dr,d,lam,prize,prize_pct,Delta_floor,Delta_star,tail_reduction,mean_sacrifice,floor_p_offload,floor_tail_offload_cost,p_offload,tail_offload_cost,n_floor,n_star
0.3,1,2,0.2,0.0,nan,2.3835,2.3834,0.0001,0.0001,0.0035,0.0,0.0037,0.0,1.9991,2.0
0.3,2,4,0.2,0.0,nan,2.3759,2.3758,0.0001,0.0001,0.0026,0.0,0.0035,0.0,1.9927,1.9991
0.3,3,6,0.2,0.0,nan,2.3708,2.3708,0.0,0.0,0.0026,0.0,0.0026,0.0,1.9927,1.9927
0.3,3.5,7,0.2,0.0,nan,2.3683,2.3683,0.0,0.0,0.0026,0.0,0.0026,0.0,1.9927,1.9927
0.3,4,8,0.2,0.0,nan,2.3657,2.3657,0.0,0.0,0.0026,0.0,0.0026,0.0,1.9927,1.9927
0.3,5,10,0.2,0.0255,100.0,2.3861,2.3519,0.0343,0.0088,0.0026,0.1275,0,0.0,1.9927,1.9599
0.5,1,2,0.333,0.0005,0.0522,2.9179,2.9154,0.0026,0.0021,0.0285,0.0,0.0321,0.0,3.3099,3.3296
0.5,2,4,0.333,0.0,0.0,2.8595,2.8595,0.0,0.0,0.0166,0.0,0.0166,0.0,3.2333,3.2333
0.5,3,6,0.333,0.0,0.0,2.8264,2.8264,0.0,0.0,0.0166,0.0,0.0166,0.0,3.2333,3.2333
0.5,3.5,7,0.333,0.0501,5.9806,2.8927,2.7359,0.1567,0.1066,0.0166,0.58,0,0.0,3.2333,3.0202
0.5,4,8,0.333,0.133,17.6076,2.959,2.7359,0.223,0.09,0.0166,0.6629,0,0.0,3.2333,3.0202
0.5,5,10,0.333,0.2987,50.6667,3.0915,2.7359,0.3556,0.0569,0.0166,0.8286,0,0.0,3.2333,3.0202
0.7,1,2,0.467,0.0,0.0,3.2336,3.2336,0.0,0.0,0.0883,0.0,0.0883,0.0,4.5026,4.5026
0.7,2,4,0.467,0.0,0.0,3.1888,3.1888,0.0,0.0,0.0419,0.0,0.0419,0.0,4.2045,4.2045
0.7,3,6,0.467,0.0,0.0,3.1063,3.1063,0.0,0.0,0.0419,0.0038,0.0419,0.0038,4.2045,4.2045
0.7,3.5,7,0.467,0.1267,9.0878,3.2739,2.8777,0.3962,0.2695,0.0419,1.4664,0,0.0,4.2045,3.6657
0.7,4,8,0.467,0.3362,28.3729,3.4414,2.8777,0.5638,0.2276,0.0419,1.6759,0,0.0,4.2045,3.6657
0.7,5,10,0.467,0.7552,98.5876,3.7766,2.8777,0.899,0.1438,0.0419,2.0948,0,0.0,4.2045,3.6657
0.9,1,2,0.6,0.0,0.0,2.7008,2.7008,0.0,0.0,0.1633,0.0,0.1633,0.0,5.398,5.398
0.9,2,4,0.6,0.0,0.0,2.654,2.654,0.0,0.0,0.0648,0.0,0.0648,0.0,4.7649,4.7649
0.9,3,6,0.6,0.0,0.0,3.1727,3.1727,0.0,0.0,0.0648,1.945,0.0648,1.945,4.7649,4.7649
0.9,3.5,7,0.6,0.076,4.4666,3.432,2.939,0.4931,0.417,0.0648,2.2692,0,0.0,4.7649,3.9312
0.9,4,8,0.6,0.4002,29.0376,3.6913,2.939,0.7524,0.3522,0.0648,2.5933,0,0.0,4.7649,3.9312
0.9,5,10,0.6,1.0485,143.6555,4.21,2.939,1.2711,0.2225,0.0648,3.2417,0,0.0,4.7649,3.9312
1.1,1,2,0.733,0.0,0.0,2.5556,2.5556,0.0,0.0,0.2158,0.0,0.2158,0.0,5.8679,5.8679
1.1,2,4,0.733,0.0,0.0,2.5223,2.5223,0.0,0.0,0.0757,0.0,0.0757,0.0,4.967,4.967
1.1,3,6,0.733,0.0,0.0,3.1275,3.1275,0.0,0.0,0.0757,2.2697,0.0757,2.2697,4.967,4.967
1.1,3.5,7,0.733,0.0887,4.798,3.4301,2.8548,0.5754,0.4866,0.0757,2.648,0,0.0,4.967,3.9941
1.1,4,8,0.733,0.467,31.7464,3.7328,2.8548,0.878,0.411,0.0757,3.0263,0,0.0,4.967,3.9941
1.1,5,10,0.733,1.2236,171.2462,4.338,2.8548,1.4832,0.2597,0.0757,3.7828,0,0.0,4.967,3.9941
1.3,1,2,0.867,0.0,0.0,2.5318,2.5318,0.0,0.0,0.2323,0.3963,0.2323,0.3963,5.9933,5.9933
1.3,2,4,0.867,0.0,0.0,2.5066,2.5066,0.0,0.0,0.0777,0.0,0.0777,0.0,4.9992,4.9992
1.3,3,6,0.867,0.0,0.0,3.1282,3.1282,0.0,0.0,0.0777,2.3311,0.0777,2.3311,4.9992,4.9992
1.3,3.5,7,0.867,0.0911,4.8978,3.439,2.8481,0.5909,0.4998,0.0777,2.7196,0,0.0,4.9992,3.9999
1.3,4,8,0.867,0.4797,32.5804,3.7498,2.8481,0.9017,0.4221,0.0777,3.1081,0,0.0,4.9992,3.9999
1.3,5,10,0.867,1.2567,180.7737,4.3714,2.8481,1.5234,0.2667,0.0777,3.8852,0,0.0,4.9992,3.9999
