block,family,T,B,floor,v1,online,info,prize,gap,gap_over_sqrtT,gap_over_T,capture,kappa,regret,regret_over_sqrtT
dmd_riskneutral,,64,,,,,,,,,,,,2.145866011787302,0.26823325147341276
dmd_riskneutral,,128,,,,,,,,,,,,3.1525951297555257,0.278652674323227
dmd_riskneutral,,256,,,,,,,,,,,,4.398229300266388,0.2748893312666493
dmd_riskneutral,,512,,,,,,,,,,,,6.203708286570702,0.27416776237108254
dmd_riskneutral,,1024,,,,,,,,,,,,8.84620152922472,0.2764437977882725
dmd_riskneutral,,2048,,,,,,,,,,,,12.581503184494855,0.27801456935238916
cvar_exact_window,high-divergence,8,3,0.4578486271999993,1.1611263999999994,1.1611263999999994,1.1611263999999997,0.7032777728000001,0.0,0.0,0.0,1.0,2.25,,
cvar_exact_window,high-divergence,10,4,1.0130845614079993,1.606552637439999,1.7182924799999988,1.7182924799999988,0.7052079185919995,0.1117398425599998,0.03533524078782192,0.01117398425599998,0.8415504993433756,2.25,,
cvar_exact_window,high-divergence,12,5,1.4257384879030257,2.313580661145599,2.3850920099839987,2.385092009983999,0.959353522080973,0.0715113488383996,0.020643548250981622,0.005959279069866634,0.9254588145115875,1.75,,
cvar_exact_window,high-divergence,14,6,2.3951664077843975,2.8452378981826554,2.9418457463521266,2.941845746352126,0.5466793385677291,0.09660784816947121,0.02581953348025981,0.006900560583533658,0.8232824228869182,1.25,,
cvar_exact_window,high-divergence,16,6,2.458717865245649,3.4966986585948634,3.7094973719379953,3.7094973719379953,1.2507795066923464,0.21279871334313194,0.053199678335782985,0.013299919583945746,0.8298671250971543,2.5,,
cvar_exact_window,high-divergence,18,7,3.122374488615965,4.198304139183935,4.312812911532576,4.312812911532575,1.190438422916611,0.11450877234864087,0.0269899764776902,0.006361598463813382,0.9038095796100979,2.0,,
cvar_exact_window,bait,8,3,2.6213132855468744,3.745559993359374,4.700431951953124,4.700431951953124,2.07911866640625,0.9548719585937504,0.33759821854326055,0.1193589948242188,0.540732342976727,1.25,,
cvar_exact_window,bait,10,4,4.423291174999023,5.536683840612304,6.4575503311582025,6.457550331158202,2.0342591561591794,0.9208664905458983,0.291203553105095,0.09208664905458983,0.547320955760348,1.25,,
cvar_exact_window,bait,12,5,6.195697385695067,7.400060852341504,8.256058160427536,8.256058160427536,2.0603607747324686,0.8559973080860317,0.24710513812453272,0.07133310900716931,0.584540087064519,1.25,,
cvar_exact_window,bait,14,6,8.156079095606321,9.277741355510045,10.096501527821216,10.096501527821214,1.9404224322148949,0.8187601723111708,0.2188228604803141,0.05848286945079791,0.5780505529527418,1.25,,
cvar_exact_window,bait,16,6,8.469714785193256,9.98105113472807,10.991557149288163,10.991557149288163,2.5218423640949066,1.010506014560093,0.25262650364002326,0.06315662591000581,0.5992985013864,1.25,,
cvar_exact_window,bait,18,7,10.551280387721121,11.976731318389774,12.878282979104545,12.878282979104545,2.3270025913834242,0.9015516607147713,0.2124977642938028,0.05008620337304285,0.6125695501788029,1.25,,
