instance,measure,param,best_k
default W6V6T8,CVaR_0.2,,1.25
default W6V6T8,mean-variance,lambda=0.5,2.5
default W6V6T8,mean-variance,lambda=1.0,2.5
default W6V6T8,mean-variance,lambda=2.0,2.5
default W6V6T8,entropic,theta=0.1,0.25
default W6V6T8,entropic,theta=0.5,1.25
default W6V6T8,entropic,theta=1.0,3.25
tight   W4V4T8,CVaR_0.2,,3.25
tight   W4V4T8,mean-variance,lambda=0.5,2.25
tight   W4V4T8,mean-variance,lambda=1.0,2.25
tight   W4V4T8,mean-variance,lambda=2.0,3.0
tight   W4V4T8,entropic,theta=0.1,0.25
tight   W4V4T8,entropic,theta=0.5,1.75
tight   W4V4T8,entropic,theta=1.0,2.5
heavyJP W6V6T8,CVaR_0.2,,2.75
heavyJP W6V6T8,mean-variance,lambda=0.5,3.5
heavyJP W6V6T8,mean-variance,lambda=1.0,3.5
heavyJP W6V6T8,mean-variance,lambda=2.0,3.5
heavyJP W6V6T8,entropic,theta=0.1,0.5
heavyJP W6V6T8,entropic,theta=0.5,2.75
heavyJP W6V6T8,entropic,theta=1.0,3.5
